label,ID,seed_subclasses,used_in_PPO
whole plant,PO:0000003,N,Y
leaf,PO:0025034,N,Y
vascular leaf,PO:0009025,N,Y
cotyledon,PO:0020030,N,Y
vascular leaf expansion stage,PO:0001052,N,Y
vascular leaf post-expansion stage,PO:0001053,N,Y
vascular leaf senescent stage,PO:0001054,N,Y
bud burst stage,PO:0025532,N,Y
plant anatomical entity,PO:0025131,N,N
plant structure,PO:0009011,N,N
multi-tissue plant structure,PO:0025496,N,N
plant organ,PO:0009008,N,N
fruit,PO:0009001,N,N
seed,PO:0009010,N,N
phyllome,PO:0006001,N,N
collective plant structure,PO:0025497,N,N
collective plant organ structure,PO:0025007,N,N
shoot system,PO:0009006,N,N
reproductive shoot system,PO:0025082,N,N
flower,PO:0009046,N,N
vegetative shoot system,PO:0025607,N,N
bud,PO:0000055,N,N
vegetative bud,PO:0000058,N,N
flower bud,PO:0000056,N,N
plant structure development stage,PO:0009012,N,N
whole plant development stage,PO:0007033,N,N
sporophyte development stage,PO:0028002,N,N
sporophyte vegetative stage,PO:0007134,N,N
sporophyte reproductive stage,PO:0007130,N,N
sporophyte senescent stage,PO:0007017,N,N
sporophyte dormant stage,PO:0007132,N,N
plant organ development stage,PO:0025339,N,N
vascular leaf development stage,PO:0025570,N,N
flower development stage,PO:0007615,N,N
fruit development stage,PO:0001002,N,N
