absent	absent_label	parent	parent_label	val0	val01
PPO:0002600	new shoot system absent	PPO:0002003	new shoot system presence	VALUE 0	VALUE 0.0
PPO:0002601	new above-ground shoot-borne shoot system absent	PPO:0002004	new above-ground shoot-borne shoot system presence	VALUE 0	VALUE 0.0
PPO:0002602	new shoot system emerging from ground absent	PPO:0002005	new shoot system emerging from ground presence	VALUE 0	VALUE 0.0
PPO:0002603	new shoot system emerging from ground in first growth cycle absent	PPO:0002006	new shoot system emerging from ground in first growth cycle presence	VALUE 0	VALUE 0.0
PPO:0002604	seedling absent	PPO:0002007	seedling presence	VALUE 0	VALUE 0.0
PPO:0002605	new shoot system emerging from ground in later growth cycle absent	PPO:0002008	new shoot system emerging from ground in later growth cycle presence	VALUE 0	VALUE 0.0
PPO:0002606	vegetative bud absent	PPO:0002009	leaf bud presence	VALUE 0	VALUE 0.0
PPO:0002607	dormant leaf bud absent	PPO:0002010	dormant leaf bud presence	VALUE 0	VALUE 0.0
PPO:0002608	non-dormant leaf bud absent	PPO:0002011	non-dormant leaf bud presence	VALUE 0	VALUE 0.0
PPO:0002609	swelling leaf bud absent	PPO:0002012	swelling leaf bud presence	VALUE 0	VALUE 0.0
PPO:0002610	breaking leaf bud absent	PPO:0002013	breaking leaf bud presence	VALUE 0	VALUE 0.0
PPO:0002611	vascular leaf absent	PPO:0002014	vascular leaf presence	VALUE 0	VALUE 0.0
PPO:0002612	true leaf absent	PPO:0002015	true leaf presence	VALUE 0	VALUE 0.0
PPO:0002613	unfolding true leaf absent	PPO:0002016	unfolding true leaf presence	VALUE 0	VALUE 0.0
PPO:0002614	unfolded true leaf absent	PPO:0002017	unfolded true leaf presence	VALUE 0	VALUE 0.0
PPO:0002615	non-senescing unfolded true leaf absent	PPO:0002018	non-senescing unfolded true leaf presence	VALUE 0	VALUE 0.0
PPO:0002616	senescing true leaf absent	PPO:0002019	senescing true leaf presence	VALUE 0	VALUE 0.0
PPO:0002617	immature unfolded true leaf absent	PPO:0002020	immature unfolded true leaf presence	VALUE 0	VALUE 0.0
PPO:0002618	mature true leaf absent	PPO:0002021	mature true leaf presence	VALUE 0	VALUE 0.0
PPO:0002619	expanding unfolded true leaf absent	PPO:0002022	expanding unfolded true leaf presence	VALUE 0	VALUE 0.0
PPO:0002620	expanded immature true leaf absent	PPO:0002023	expanded immature true leaf presence	VALUE 0	VALUE 0.0
PPO:0002621	expanding true leaf absent	PPO:0002024	expanding true leaf presence	VALUE 0	VALUE 0.0
PPO:0002622	reproductive structure absent	PPO:0002025	reproductive structure presence	VALUE 0	VALUE 0.0
PPO:0002623	floral structure absent	PPO:0002026	floral structure presence	VALUE 0	VALUE 0.0
PPO:0002624	non-senesced floral structure absent	PPO:0002027	non-senesced floral structure presence	VALUE 0	VALUE 0.0
PPO:0002625	unopened floral structure absent	PPO:0002028	unopened floral structure presence	VALUE 0	VALUE 0.0
PPO:0002626	open floral structure absent	PPO:0002029	open floral structure presence	VALUE 0	VALUE 0.0
PPO:0002627	pollen-releasing floral structure absent	PPO:0002030	pollen-releasing floral structure presence	VALUE 0	VALUE 0.0
PPO:0002628	senesced floral structure absent	PPO:0002031	senesced floral structure presence	VALUE 0	VALUE 0.0
PPO:0002629	flower absent	PPO:0002032	flower presence	VALUE 0	VALUE 0.0
PPO:0002630	non-senesced flower absent	PPO:0002033	non-senesced flower presence	VALUE 0	VALUE 0.0
PPO:0002631	unopened flower absent	PPO:0002034	unopened flower presence	VALUE 0	VALUE 0.0
PPO:0002632	open flower absent	PPO:0002035	open flower presence	VALUE 0	VALUE 0.0
PPO:0002633	pollen-releasing flower absent	PPO:0002036	pollen-releasing flower presence	VALUE 0	VALUE 0.0
PPO:0002634	senesced flower absent	PPO:0002037	senesced flower presence	VALUE 0	VALUE 0.0
PPO:0002635	inflorescence absent	PPO:0002038	flower head presence	VALUE 0	VALUE 0.0
PPO:0002636	non-senesced flower head absent	PPO:0002039	non-senesced flower head presence	VALUE 0	VALUE 0.0
PPO:0002637	unopened flower head absent	PPO:0002040	unopened flower head presence	VALUE 0	VALUE 0.0
PPO:0002638	open flower head absent	PPO:0002041	open flower head presence	VALUE 0	VALUE 0.0
PPO:0002639	pollen-releasing flower head absent	PPO:0002042	pollen-releasing flower head presence	VALUE 0	VALUE 0.0
PPO:0002640	senesced flower head absent	PPO:0002043	senesced flower head presence	VALUE 0	VALUE 0.0
PPO:0002641	simple fruit or compound fruit absent	PPO:0002044	fruit presence	VALUE 0	VALUE 0.0
PPO:0002642	ripening fruit absent	PPO:0002045	ripening fruit presence	VALUE 0	VALUE 0.0
PPO:0002643	unripe fruit absent	PPO:0002046	unripe fruit presence	VALUE 0	VALUE 0.0
PPO:0002644	ripe fruit absent	PPO:0002047	ripe fruit presence	VALUE 0	VALUE 0.0
PPO:0002645	strobilus absent	PPO:0002048	cone presence	VALUE 0	VALUE 0.0
