ID	parent	parent_label	structure	Plant structure label	Text definition					Comments					Label
PPO:0002003	PPO:0002003	new shoot system presence		new shoot system	A {plant phenological trait} that is measured by the number of new shoot systems {$new shoot system} on a {whole plant}.					The number can be 0 or more.					new shoot system presence
PPO:0002004	PPO:0002004	new above-ground shoot-borne shoot system presence		new above-ground shoot-borne shoot system	A {plant phenological trait} that is measured by the number of new above-ground shoot-borne shoot systems {$new above-ground shoot-borne shoot system} on a {whole plant}.					The number can be 0 or more.					new above-ground shoot-borne shoot system presence
PPO:0002005	PPO:0002005	new shoot system emerging from ground presence		new shoot system emerging from ground	A {plant phenological trait} that is measured by the number of new shoot systems emerging from ground {$new shoot system emerging from ground} on a {whole plant}.					The number can be 0 or more.					new shoot system emerging from ground presence
PPO:0002006	PPO:0002006	new shoot system emerging from ground in first growth cycle presence		new shoot system emerging from ground in first growth cycle	A {plant phenological trait} that is measured by the number of new shoot systems emerging from ground in first growth cycle {$new shoot system emerging from ground in first growth cycle} on a {whole plant}.					The number can be 0 or more.					new shoot system emerging from ground in first growth cycle presence
PPO:0002007	PPO:0002007	seedling presence		seedling	A {plant phenological trait} that is measured by whether or not a {whole plant} is a {seedling}.					"For consistency with other trait measurements, 'seedling presence' is also measured with a count, which must be a binary value: 0 if the plant is a seedling, 1 if it is not."					seedling presence
PPO:0002008	PPO:0002008	new shoot system emerging from ground in later growth cycle presence		new shoot system emerging from ground in later growth cycle	A {plant phenological trait} that is measured by the number of new shoot systems emerging from ground in later growth cycle {$new shoot system emerging from ground in later growth cycle} on a {whole plant}.					The number can be 0 or more.					new shoot system emerging from ground in later growth cycle presence
PPO:0002009	PPO:0002009	leaf bud presence		PO:'vegetative bud'	A {plant phenological trait} that is measured by the number of vegetative buds {$PO:'vegetative bud'} on a {whole plant}.					The number can be 0 or more.					leaf bud presence
PPO:0002010	PPO:0002010	dormant leaf bud presence		dormant leaf bud	A {plant phenological trait} that is measured by the number of dormant leaf buds {$dormant leaf bud} on a {whole plant}.					The number can be 0 or more.					dormant leaf bud presence
PPO:0002011	PPO:0002011	non-dormant leaf bud presence		non-dormant leaf bud	A {plant phenological trait} that is measured by the number of non-dormant leaf buds {$non-dormant leaf bud} on a {whole plant}.					The number can be 0 or more.					non-dormant leaf bud presence
PPO:0002012	PPO:0002012	swelling leaf bud presence		swelling leaf bud	A {plant phenological trait} that is measured by the number of swelling leaf buds {$swelling leaf bud} on a {whole plant}.					The number can be 0 or more.					swelling leaf bud presence
PPO:0002013	PPO:0002013	breaking leaf bud presence		breaking leaf bud	A {plant phenological trait} that is measured by the number of breaking leaf buds {$breaking leaf bud} on a {whole plant}.					The number can be 0 or more.					breaking leaf bud presence
PPO:0002014	PPO:0002014	vascular leaf presence		vascular leaf	A {plant phenological trait} that is measured by the number of vascular leaves {$vascular leaf} on a {whole plant}.					The number can be 0 or more.					vascular leaf presence
PPO:0002015	PPO:0002015	true leaf presence		true leaf	A {plant phenological trait} that is measured by the number of true leaves {$true leaf} on a {whole plant}.					The number can be 0 or more.					true leaf presence
PPO:0002016	PPO:0002016	unfolding true leaf presence		unfolding true leaf	A {plant phenological trait} that is measured by the number of unfolding true leaves {$unfolding true leaf} on a {whole plant}.					The number can be 0 or more.					unfolding true leaf presence
PPO:0002017	PPO:0002017	unfolded true leaf presence		unfolded true leaf	A {plant phenological trait} that is measured by the number of unfolded true leaves {$unfolded true leaf} on a {whole plant}.					The number can be 0 or more.					unfolded true leaf presence
PPO:0002018	PPO:0002018	non-senescing unfolded true leaf presence		non-senescing unfolded true leaf	A {plant phenological trait} that is measured by the number of non-senescing unfolded true leaves {$non-senescing unfolded true leaf} on a {whole plant}.					The number can be 0 or more.					non-senescing unfolded true leaf presence
PPO:0002019	PPO:0002019	senescing true leaf presence		senescing true leaf	A {plant phenological trait} that is measured by the number of senescing true leaves {$senescing true leaf} on a {whole plant}.					The number can be 0 or more.					senescing true leaf presence
PPO:0002020	PPO:0002020	immature unfolded true leaf presence		immature unfolded true leaf	A {plant phenological trait} that is measured by the number of immature unfolded true leaves {$immature unfolded true leaf} on a {whole plant}.					The number can be 0 or more.					immature unfolded true leaf presence
PPO:0002021	PPO:0002021	mature true leaf presence		mature true leaf	A {plant phenological trait} that is measured by the number of mature true leaves {$mature true leaf} on a {whole plant}.					The number can be 0 or more.					mature true leaf presence
PPO:0002022	PPO:0002022	expanding unfolded true leaf presence		expanding unfolded true leaf	A {plant phenological trait} that is measured by the number of expanding unfolded true leaves {$expanding unfolded true leaf} on a {whole plant}.					The number can be 0 or more.					expanding unfolded true leaf presence
PPO:0002023	PPO:0002023	expanded immature true leaf presence		expanded immature true leaf	A {plant phenological trait} that is measured by the number of expanded immature true leaves {$expanded immature true leaf} on a {whole plant}.					The number can be 0 or more.					expanded immature true leaf presence
PPO:0002024	PPO:0002024	expanding true leaf presence		expanding true leaf	A {plant phenological trait} that is measured by the number of expanding true leaves {$expanding true leaf} on a {whole plant}.					The number can be 0 or more.					expanding true leaf presence
PPO:0002025	PPO:0002025	reproductive structure presence		reproductive structure	A {plant phenological trait} that is measured by the number of reproductive structures {$reproductive structure} on a {whole plant}.					The number can be 0 or more.					reproductive structure presence
PPO:0002026	PPO:0002026	floral structure presence		floral structure	A {plant phenological trait} that is measured by the number of floral structures {$floral structure} on a {whole plant}.					The number can be 0 or more.					floral structure presence
PPO:0002027	PPO:0002027	non-senesced floral structure presence		non-senesced floral structure	A {plant phenological trait} that is measured by the number of non-senesced floral structures {$non-senesced floral structure} on a {whole plant}.					The number can be 0 or more.					non-senesced floral structure presence
PPO:0002028	PPO:0002028	unopened floral structure presence		unopened floral structure	A {plant phenological trait} that is measured by the number of unopened floral structures {$unopened floral structure} on a {whole plant}.					The number can be 0 or more.					unopened floral structure presence
PPO:0002029	PPO:0002029	open floral structure presence		open floral structure	A {plant phenological trait} that is measured by the number of open floral structures {$open floral structure} on a {whole plant}.					The number can be 0 or more.					open floral structure presence
PPO:0002030	PPO:0002030	pollen-releasing floral structure presence		pollen-releasing floral structure	A {plant phenological trait} that is measured by the number of pollen-releasing floral structures {$pollen-releasing floral structure} on a {whole plant}.					The number can be 0 or more.					pollen-releasing floral structure presence
PPO:0002031	PPO:0002031	senesced floral structure presence		senesced floral structure	A {plant phenological trait} that is measured by the number of senesced floral structures {$senesced floral structure} on a {whole plant}.					The number can be 0 or more.					senesced floral structure presence
PPO:0002032	PPO:0002032	flower presence		PO:'flower'	A {plant phenological trait} that is measured by the number of flowers {$PO:'flower'} on a {whole plant}.					The number can be 0 or more.					flower presence
PPO:0002033	PPO:0002033	non-senesced flower presence		non-senesced flower	A {plant phenological trait} that is measured by the number of non-senesced flowers {$non-senesced flower} on a {whole plant}.					The number can be 0 or more.					non-senesced flower presence
PPO:0002034	PPO:0002034	unopened flower presence		unopened flower	A {plant phenological trait} that is measured by the number of unopened flowers {$unopened flower} on a {whole plant}.					The number can be 0 or more.					unopened flower presence
PPO:0002035	PPO:0002035	open flower presence		open flower	A {plant phenological trait} that is measured by the number of open flowers {$open flower} on a {whole plant}.					The number can be 0 or more.					open flower presence
