defined_class	trait	parent	parent_label	structure	structure_label	deprecated
PPO:0002001	plant structure presence	PPO:0002000	plant phenological trait	PO:0009011	plant structure	
PPO:0002003	new shoot system presence	PPO:0002001	plant structure presence	PPO:0001003	new shoot system	
PPO:0002004	new above-ground shoot-borne shoot system presence	PPO:0002001	plant structure presence	PPO:0001004	new above-ground shoot-borne shoot system	
PPO:0002005	new shoot system emerging from ground presence	PPO:0002001	plant structure presence	PPO:0001005	new shoot system emerging from ground	
PPO:0002006	new shoot system emerging from ground in first growth cycle presence	PPO:0002001	plant structure presence	PPO:0001006	new shoot system emerging from ground in first growth cycle	
PPO:0002008	new shoot system emerging from ground in later growth cycle presence	PPO:0002001	plant structure presence	PPO:0001008	new shoot system emerging from ground in later growth cycle	
PPO:0002009	leaf bud presence	PPO:0002001	plant structure presence	PO:0000058	vegetative bud	
PPO:0002010	dormant leaf bud presence	PPO:0002001	plant structure presence	PPO:0001009	dormant leaf bud	
PPO:0002011	non-dormant leaf bud presence	PPO:0002001	plant structure presence	PPO:0001010	non-dormant leaf bud	
PPO:0002012	swelling leaf bud presence	PPO:0002001	plant structure presence	PPO:0001011	swelling leaf bud	
PPO:0002013	breaking leaf bud presence	PPO:0002001	plant structure presence	PPO:0001012	breaking leaf bud	
PPO:0002014	vascular leaf presence	PPO:0002001	plant structure presence	PO:0009025	vascular leaf	
PPO:0002015	true leaf presence	PPO:0002001	plant structure presence	PPO:0001013	true leaf	
PPO:0002016	unfolding true leaf presence	PPO:0002001	plant structure presence	PPO:0001014	unfolding true leaf	
PPO:0002017	unfolded true leaf presence	PPO:0002001	plant structure presence	PPO:0001015	unfolded true leaf	
PPO:0002018	non-senescing unfolded true leaf presence	PPO:0002001	plant structure presence	PPO:0001016	non-senescing unfolded true leaf	
PPO:0002019	senescing true leaf presence	PPO:0002001	plant structure presence	PPO:0001017	senescing true leaf	
PPO:0002020	immature unfolded true leaf presence	PPO:0002001	plant structure presence	PPO:0001018	immature unfolded true leaf	
PPO:0002021	mature true leaf presence	PPO:0002001	plant structure presence	PPO:0001019	mature true leaf	
