Type	ID	Label	Parent	Text definition	Subclass of	Equivalent to	Comments	Ignore	Notes	Plant type
Class	PPO:0007000	plant growth cycle	PO:'whole plant development stage'	"A {whole plant development stage} that begins with {seed germination} or {exit from dormancy}, ends with death or {entry into dormancy}, and during which the participant plant is not dormant."	"'whole plant development stage' AND ('starts with' SOME ('seed germination' OR 'exit from dormancy')) AND ('precedes' SOME ('entry into dormancy' OR 'death stage')"")"""""""		"This class is not intended to apply to in vitro-grown plants such as tissue culture, where growth can begin with cell division."			all vascular plants?
Class	PPO:0007001	initial growth cycle	'plant growth cycle'	A {plant growth cycle} that begins with {seed germination}.		'plant growth cycle' THAT 'starts with' SOME 'seed germination'				all vascular plants?
Class	PPO:0007002	later growth cycle	'plant growth cycle'	A {plant growth cycle} that begins with {exit from dormancy} of the participating plant. This cycle cannot begin with the exit from dormancy of a {seed}.	'plant growth cycle' THAT 'starts with' SOME 'exit from dormancy'					all vascular plants?
Class	PPO:0007003	plant regreening process	GO:'biological_process'						Need to request this in GO.	
Class	PPO:0007004	phenology observing process	BCO:'observing process'	An {observing process} that has as input a {'portion of a plant'} or a {whole plant} and has as output a {measurement datum} that is a {quality datum of} some {plant phenological trait}.	"'observing process' AND ('has_specified_input' SOME ('portion of a plant' OR 'whole plant')) AND ('has_specified_output' SOME ('measurement datum' THAT 'quality datum of' SOME 'plant phenological trait'""))"""""""					
Class	PPO:0007005	vascular leaf unfolding stage	'vascular leaf expansion stage'	A {vascular leaf expansion stage} during which a {vascular leaf} participates in the process of unfolding.			"This stage ends when a leaf is considered unfolded, which varies by species, but generally occurs once the leaf blade has unfolded enough to appear more or less like a small version of the adult leaf. For species with scaled buds, this is generally once the entire leaf blade has emerged from a breaking bud; for conifers, once a needle begins to spread away at an angle from the developing stem or from other needles in a bundle (e.g. pines); for grasses, once the leaf blade unrolls slightly from around the stem and begins to fall away at an angle; for sedges, once the leaf has grown long enough that the two halves of the blade have begun to spread apart like an open book; for rushes, once the exposed, green portion of the leaf has reached a specified length."		"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007006	vascular leaf expanding unfolded stage	'vascular leaf expansion stage'	A {vascular leaf expansion stage} during which a {vascular leaf} has completed the process of unfolding but is still expanding in size.			"This stage begins when a leaf is considered unfolded, which varies by species, but generally occurs once the leaf blade has unfolded enough to appear more or less like a small version of the adult leaf. For species with scaled buds, this is generally once the entire leaf blade has emerged from a breaking bud; for conifers, once a needle begins to spread away at an angle from the developing stem or from other needles in a bundle (e.g. pines); for grasses, once the leaf blade unrolls slightly from around the stem and begins to fall away at an angle; for sedges, once the leaf has grown long enough that the two halves of the blade have begun to spread apart like an open book; for rushes, once the exposed, green portion of the leaf has reached a specified length."		"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007007	vascular leaf expanded immature stage	'vascular leaf post-expansion stage'				"In this stage, the leaf is fully expanded but not yet the same color and texture as fully mature leaves."		"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007008	vascular leaf mature stage	'vascular leaf post-expansion stage'						"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007009	unopened flower stage	'flower development stage'						"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007010	open flower stage	'flower development stage'						"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007011	pollen-releasing flower stage	'open flower stage'						"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007012	fruit unripe stage	PO:'fruit ripening stage'	A {fruit ripening stage} in which the {ripening fruit} has not yet reached the {fruit ripe stage}.						
Class	PPO:0007013	fruit ripe stage	PO:'fruit ripening stage'	"A {fruit ripening stage} in which the {ripening fruit} has completed ripening to the taxon-specific point at which it is widely considered by botanical experts to have seeds {$seed} that are developed enough to be ready for dispersal, or, in the case of agricultural crops, the point at which the {fruit} is considered palatable for human consumption."						
Class	PPO:0007014	strobilus development stage	'reproductive shoot system development stage'						"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007015	open microsporangiate strobilus stage	'strobilus development stage'						"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007016	pollen-releasing strobilus stage	'strobilus development stage'						"This is provisional and should eventually be defined in the PO, not the PPO."	
Class	PPO:0007017	megasporangiate strobilus ripening stage	'strobilus development stage'							
Class	PPO:0007018	megasporangiate strobilus unripe stage	'megasporangiate strobilus ripening stage'	A {megasporangiate strobilus ripening stage} in which the {ripening seed cone} has not yet reached the {megasporangiate strobilus ripe stage}.						
Class	PPO:0007019	megasporangiate strobilus ripe stage	'megasporangiate strobilus ripening stage'	A {megasporangiate strobilus ripening stage} in which the {ripening seed cone} has completed ripening to the taxon-specific point at which it is widely considered by botanical experts to have seeds {$seed} that are developed enough to be ready for dispersal.						
