ID	Type	Label	Parent	Plant structure	Text definition	Superclass of	Disjoint with	Equivalent to	Subclass of	Ignore	Notes
ID	TYPE	A rdfs:label	SC %		A IAO:0000115		DC %	EC %			
PPO:0002600	Class	'new shoot system absent'	'new shoot system presence'	'new shoot system'	A new shoot system presence trait that is a quality of a whole plant that does not have any new shoot systems.	'new shoot system presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'new shoot system present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'new shoot system')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'new shoot system'))			
PPO:0002601	Class	'new above-ground shoot-borne shoot systems absent'	'new above-ground shoot-borne shoot system presence'	'new above-ground shoot-borne shoot system'	A new above-ground shoot-borne shoot system presence trait that is a quality of a whole plant that does not have any new above-ground shoot-borne shoot systems.	'new above-ground shoot-borne shoot system presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'new above-ground shoot-borne shoot systems present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'new above-ground shoot-borne shoot system')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'new above-ground shoot-borne shoot system'))			
PPO:0002602	Class	'new shoot systems emerging from ground absent'	'new shoot system emerging from ground presence'	'new shoot system emerging from ground'	A new shoot system emerging from ground presence trait that is a quality of a whole plant that does not have any new shoot systems emerging from ground.	'new shoot system emerging from ground presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'new shoot systems emerging from ground present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'new shoot system emerging from ground')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'new shoot system emerging from ground'))			
PPO:0002603	Class	'new shoot systems emerging from ground in first growth cycle absent'	'new shoot system emerging from ground in first growth cycle presence'	'new shoot system emerging from ground in first growth cycle'	A new shoot system emerging from ground in first growth cycle presence trait that is a quality of a whole plant that does not have any new shoot systems emerging from ground in first growth cycle.	'new shoot system emerging from ground in first growth cycle presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'new shoot systems emerging from ground in first growth cycle present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'new shoot system emerging from ground in first growth cycle')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'new shoot system emerging from ground in first growth cycle'))			
PPO:0002604	Class	'seedling absent'	'seedling presence'	'seedling'	An seedling presence trait that is a quality of a whole plant that is not a seedling.	'seedling presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'seedling present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'seedling')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'seedling'))			
PPO:0002605	Class	'new shoot systems emerging from ground in later growth cycle absent'	'new shoot system emerging from ground in later growth cycle presence'	'new shoot system emerging from ground in later growth cycle'	A new shoot system emerging from ground in later growth cycle presence trait that is a quality of a whole plant that does not have any new shoot systems emerging from ground in later growth cycle.	'new shoot system emerging from ground in later growth cycle presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'new shoot systems emerging from ground in later growth cycle present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'new shoot system emerging from ground in later growth cycle')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'new shoot system emerging from ground in later growth cycle'))			
PPO:0002606	Class	'leaf buds absent'	'leaf bud presence'	PO:'vegetative bud'	A leaf bud presence trait that is a quality of a whole plant that does not have any vegetative buds.	'leaf bud presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'leaf buds present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME PO:'vegetative bud')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME PO:'vegetative bud'))			
PPO:0002607	Class	'dormant leaf buds absent'	'dormant leaf bud presence'	'dormant leaf bud'	A dormant leaf bud presence trait that is a quality of a whole plant that does not have any dormant leaf buds.	'dormant leaf bud presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'dormant leaf buds present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'dormant leaf bud')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'dormant leaf bud'))			
PPO:0002608	Class	'non-dormant leaf buds absent'	'non-dormant leaf bud presence'	'non-dormant leaf bud'	A non-dormant leaf bud presence trait that is a quality of a whole plant that does not have any non-dormant leaf buds.	'non-dormant leaf bud presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'non-dormant leaf buds present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'non-dormant leaf bud')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'non-dormant leaf bud'))			
PPO:0002609	Class	'swelling leaf buds absent'	'swelling leaf bud presence'	'swelling leaf bud'	A swelling leaf bud presence trait that is a quality of a whole plant that does not have any swelling leaf buds.	'swelling leaf bud presence' AND 'has quality datum' SOME ('data item' AND (('upper count' VALUE 0) OR ('upper percent' VALUE 0.0))) 	'swelling leaf buds present'	'plant structure presence' AND 'quality of' SOME ('whole plant' AND NOT ('has visible part' SOME 'swelling leaf bud')) AND 'depends on structure' ONLY (NOT ('has visible part' SOME 'swelling leaf bud'))			
