ID	Type	Label	Parent	Parent label	Text definition	Alternative label	Phenobase preferred label	Subclass of	Equivalent to	Disjoing axiom	Comments	Deprecated
ID	TYPE	A rdfs:label	SC %		A IAO:0000115	A IAO:0000118 SPLIT=|	A PPO:0000016	SC %	EC %	DC %	A http://www.w3.org/2000/01/rdf-schema#comment	A owl:deprecated
PPO:0002000	class	plant phenological trait	PATO:0000001	quality	A quality of a whole plant that provides phenologically relevant information about the whole plant.							
PPO:0002002	class	abscised plant structure presence	PPO:0002000	plant phenological trait	A plant phenological trait that is measured by the number of some plant structure that a whole plant has abscised.	presence of abscised plant structure					The number can be 0 or more and only includes plant structures that have recently abscised within the last growing season.	
PPO:0002007	class	seedling presence	PPO:0002001	plant structure presence	A plant phenological trait that is measured by whether or not a whole plant is a seedling.	presence of seedling					"For consistency with other trait measurements, seedling presence is also measured with a count, which must be a binary value: 0 if the plant is a seedling, 1 if it is not."	
PPO:0002058	class	abscised leaf presence	PPO:0002002	abscised plant structure presence	A plant phenological trait that is measured by the number of true leaves that a whole plant has abscised.	presence of abscised leaf					The number can be 0 or more and only includes leaves that have recently abscised within the last growing season.	
PPO:0002059	class	abscised fruit presence	PPO:0002002	abscised plant structure presence	A plant phenological trait that is measured by the number of a whole plant's ripe fruits that have been abscised or removed by an herbivore and/or the number of ripe fruits on a whole plant that have abscised at least one mature seed.	presence of abscised fruit or seed	abscised fruit or seed presence				The number can be 0 or more and only includes fruits or seeds that have recently abscised within the last growing season.	
PPO:0002060	class	abscised megasporangiate strobilus presence	PPO:0002002	abscised plant structure presence	 A plant phenological trait that is measured by the number of a whole plant's open megasporangiate strobili that have been abscised or removed by an herbivore and/or the number of open megasporangiate strobili on a whole plant that have abscised at least one mature seed.	abscised cone or seed presence|presence of abscised cone or seed|presence of abscised megasporangiate strobilus	abscised megasporangiate strobilus or seed presence				The number can be 0 or more and only includes megasporangiate strobili or seeds that have recently abscised within the last growing season.	
PPO:0002356	class	abscised plant structure present	PPO:0002002	abscised plant structure presence	An abscised plant structure presence trait that is a quality of a whole plant from which at least one of some plant structure has been abscised or removed.				(PPO:0002002 that (RO:0000080 some (PO:0000003 and (PPO:0000005 some PO:0009011))) and (PPO:0000009 some (PPO:0000005 some PO:0009011)))		This only includes plant structures that have recently abscised within the last growing season.	
PPO:0002357	class	abscised leaf present	PPO:0002058	abscised leaf presence	An abscised leaf presence trait that is a quality of a whole plant from which at least one true leaf  has been abscised.				(PPO:0002002 that RO:0000080 some (PO:0000003 and (PPO:0000005 some PPO:0001013)) and PPO:0000009 some (PPO:0000005 some PPO:0001013))		This only includes leaves that have recently abscised within the last growing season.	
PPO:0002358	class	abscised fruit present	PPO:0002059	abscised fruit presence	An abscised fruit presence trait that is a quality of a whole plant from which at least one ripe fruit has been abscised or removed by an herbivore or that has at least one ripe fruit from which at least one mature seed has been abscised.		abscised fruit or seed present		(PPO:0002002 that RO:0000080 some (PO:0000003 and (PPO:0000005 some (PPO:0001045 or PPO:0001024))) and PPO:0000009 some (PPO:0000005 some (PPO:0001045 or PPO:0001024)))		This only includes fruits or seeds that have recently abscised within the last growing season.	
