Type,ID,Label,Parent,Plant structure,Text definition,Superclass of,Equivalent to,Ignore,Notes,Plant type
Class,PPO:0002300,plant structures present,'plant structure presence',,A {plant structure presence} trait that is a {quality of} a {whole plant} that has at least one of some {plant structure}.,,"'plant structure presence' THAT 'quality of' SOME (
'whole plant' THAT 'has visible part' SOME 'plant structure'
)",,,
,,,,,,,,,,
Class,PPO:0002301,'new shoot system present','new shoot system presence','new shoot system',An {'new shoot system presence'} trait that is a {quality of} a {whole plant} that has at least one {'new shoot system'}.,"'new shoot system presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'new shoot system'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'new shoot system'
)",,,
Class,PPO:0002302,'new above-ground shoot-borne shoot systems present','new above-ground shoot-borne shoot system presence','new above-ground shoot-borne shoot system',A {'new above-ground shoot-borne shoot system presence'} trait that is a {quality of} a {whole plant} that has at least one {'new above-ground shoot-borne shoot system'}.,"'new above-ground shoot-borne shoot system presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'new above-ground shoot-borne shoot system'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'new above-ground shoot-borne shoot system'
)",,,
Class,PPO:0002303,'new shoot systems emerging from ground present','new shoot system emerging from ground presence','new shoot system emerging from ground',A {'new shoot system emerging from ground presence'} trait that is a {quality of} a {whole plant} that has at least one {'new shoot system emerging from ground'}.,"'new shoot system emerging from ground presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'new shoot system emerging from ground'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'new shoot system emerging from ground'
)",,,
Class,PPO:0002304,'new shoot systems emerging from ground in first growth cycle present','new shoot system emerging from ground in first growth cycle presence','new shoot system emerging from ground in first growth cycle',A {'new shoot system emerging from ground in first growth cycle presence'} trait that is a {quality of} a {whole plant} that has at least one {'new shoot system emerging from ground in first growth cycle'}.,"'new shoot system emerging from ground in first growth cycle presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'new shoot system emerging from ground in first growth cycle'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'new shoot system emerging from ground in first growth cycle'
)",,,
Class,PPO:0002305,'seedling present','seedling presence','seedling',A {'seedling presence'} trait that is a {quality of} a {whole plant} that is a {'seedling'}.,"'seedling presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'seedling'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'seedling'
)",,,
Class,PPO:0002306,'new shoot systems emerging from ground in later growth cycle present','new shoot system emerging from ground in later growth cycle presence','new shoot system emerging from ground in later growth cycle',A {'new shoot system emerging from ground in later growth cycle presence'} trait that is a {quality of} a {whole plant} that has at least one {'new shoot system emerging from ground in later growth cycle'}.,"'new shoot system emerging from ground in later growth cycle presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'new shoot system emerging from ground in later growth cycle'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'new shoot system emerging from ground in later growth cycle'
)",,,
Class,PPO:0002307,'leaf buds present','leaf bud presence',PO:'vegetative bud',A {'leaf bud presence'} trait that is a {quality of} a {whole plant} that has at least one {PO:'vegetative bud'}.,"'leaf bud presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME PO:'vegetative bud'
) AND 'depends on structure' SOME (
    'has visible part' SOME PO:'vegetative bud'
)",,,
Class,PPO:0002308,'dormant leaf buds present','dormant leaf bud presence','dormant leaf bud',A {'dormant leaf bud presence'} trait that is a {quality of} a {whole plant} that has at least one {'dormant leaf bud'}.,"'dormant leaf bud presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'dormant leaf bud'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'dormant leaf bud'
)",,,
Class,PPO:0002309,'non-dormant leaf buds present','non-dormant leaf bud presence','non-dormant leaf bud',A {'non-dormant leaf bud presence'} trait that is a {quality of} a {whole plant} that has at least one {'non-dormant leaf bud'}.,"'non-dormant leaf bud presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'non-dormant leaf bud'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'non-dormant leaf bud'
)",,,
Class,PPO:0002310,'swelling leaf buds present','swelling leaf bud presence','swelling leaf bud',A {'swelling leaf bud presence'} trait that is a {quality of} a {whole plant} that has at least one {'swelling leaf bud'}.,"'swelling leaf bud presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'swelling leaf bud'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'swelling leaf bud'
)",,,
Class,PPO:0002311,'breaking leaf buds present','breaking leaf bud presence','breaking leaf bud',A {'breaking leaf bud presence'} trait that is a {quality of} a {whole plant} that has at least one {'breaking leaf bud'}.,"'breaking leaf bud presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'breaking leaf bud'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'breaking leaf bud'
)",,,
,,,,,,,,,,
