Type,ID,Label,Parent,Text definition,Formal definition,Ignore,Notes,Plant type
Class,PPO:0002000,leaf count,'amount' (PATO:0000070),,,,,
Class,PPO:0002001,leaves present,'leaf count' (PPO:0002000),,"'leaf count' THAT (
    ('lower count' SOME xsd:integer[>0]) AND
    ('lower percent' SOME xsd:float[>0])
)",,,
Class,PPO:0002002,leaves absent,'leaf count' (PPO:0002000),,"'leaf count' THAT (
    'lower count' VALUE 0 AND 'lower percent' VALUE 0
)",,,
Class,PPO:0002003,expanding leaf count,'leaf count' (PPO:0002000),A {leaf count} that inheres in some {whole plant} . . .,,,,
Class,PPO:0002004,expanding leaves present,'expanding leaf count' (PPO:0002003),,"'expanding leaf count' THAT (
    ('lower count' SOME xsd:integer[>0]) AND
    ('lower percent' SOME xsd:float[>0])
)",,,
Class,PPO:0002005,expanding leaves absent,'expanding leaf count' (PPO:0002003),,"'expanding leaf count' THAT (
    'lower count' VALUE 0 AND 'lower percent' VALUE 0
)",,,
Class,PPO:0002006,mature leaf count,'leaf count' (PPO:0002000),,,,,
Class,PPO:0002007,mature leaves present,'mature leaf count' (PPO:0002006),,"'mature leaf count' THAT (
    ('lower count' SOME xsd:integer[>0]) AND
    ('lower percent' SOME xsd:float[>0])
)",,,
Class,PPO:0002008,mature leaves absent,'mature leaf count' (PPO:0002006),,"'mature leaf count' THAT (
    'lower count' VALUE 0 AND 'lower percent' VALUE 0
)",,,
Class,PPO:0002009,senescent leaf count,'leaf count' (PPO:0002000),,,,,
Class,PPO:0002010,senescent leaves present,'senescent leaf count' (PPO:0002009),,"'senescent leaf count' THAT (
    ('lower count' SOME xsd:integer[>0]) AND
    ('lower percent' SOME xsd:float[>0])
)",,,
Class,PPO:0002011,senescent leaves absent,'senescent leaf count' (PPO:0002009),,"'senescent leaf count' THAT (
    'lower count' VALUE 0 AND 'lower percent' VALUE 0
)",,,
